Time,Tag,Flow
1618787953.3519409,,"42400648, -0.07, -0.03, 24.29, 24.83
"
1618787953.3546283,,"42403668, -0.02, -0.02, 24.29, 24.84
"
1618787953.357748,,"42406688, -0.03, -0.02, 24.29, 24.84
"
1618787953.3607416,,"42409708, -0.03, -0.02, 24.35, 24.84
"
1618787953.363734,,"42412732, -0.03, 0.02, 24.35, 24.85
"
1618787953.366726,,"42415748, -0.03, -0.05, 24.35, 24.85
"
1618787953.3697178,,"42418772, -0.03, -0.02, 24.28, 24.88
"
1618787953.3727102,,"42421792, -0.05, 0.00, 24.28, 24.88
"
1618787953.3757017,,"42424776, -0.03, -0.02, 24.28, 24.88
"
1618787953.3786943,,"42427796, -0.03, -0.02, 24.32, 24.84
"
1618787953.381686,,"42430820, -0.02, -0.02, 24.32, 24.84
"
1618787953.3846786,,"42433844, -0.08, -0.03, 24.32, 24.84
"
1618787953.38767,,"42436868, -0.07, -0.03, 24.29, 24.84
"
1618787953.3906624,,"42439896, -0.03, 0.00, 24.29, 24.84
"
1618787953.3936546,,"42442884, -0.03, -0.02, 24.29, 24.83
"
1618787953.3966463,,"42445904, -0.02, -0.02, 24.33, 24.83
"
1618787953.399639,,"42448928, -0.03, 0.02, 24.33, 24.83
"
1618787953.40263,,"42451936, -0.05, 0.00, 24.33, 24.85
"
1618787953.4056225,,"42454924, -0.03, -0.02, 24.31, 24.85
"
1618787953.4086142,,"42457948, -0.02, -0.02, 24.31, 24.85
"
1618787953.4116066,,"42460972, -0.03, -0.02, 24.31, 24.85
"
1618787953.4145985,,"42463996, -0.08, -0.02, 24.33, 24.85
"
1618787953.4175909,,"42467024, -0.03, -0.02, 24.33, 24.85
"
1618787953.420583,,"42470044, -0.02, 0.00, 24.33, 24.85
"
1618787953.4235747,,"42473036, -0.05, 0.00, 24.31, 24.85
"
1618787953.426569,,"42476024, -0.03, 0.00, 24.31, 24.82
"
1618787953.4295697,,"42479012, -0.02, -0.03, 24.31, 24.82
"
1618787953.4325743,,"42482040, -0.05, 0.00, 24.31, 24.82
"
1618787953.4355657,,"42485028, -0.02, -0.02, 24.31, 24.82
"
1618787953.4385545,,"42488056, -0.02, -0.02, 24.31, 24.82
"
1618787953.4415467,,"42491084, -0.05, -0.03, 24.31, 24.84
"
1618787953.444538,,"42494112, -0.03, -0.02, 24.31, 24.84
"
1618787953.44753,,"42497140, -0.07, 0.02, 24.31, 24.84
"
1618787953.4505236,,"42500156, -0.07, -0.02, 24.32, 24.82
"
1618787953.4534955,,"42503180, -0.03, 0.00, 24.32, 24.82
"
1618787953.4564874,,"42506164, -0.02, 0.00, 24.32, 24.86
"
1618787953.4594886,,"42509148, -0.03, -0.03, 24.32, 24.86
"
1618787953.4624717,,"42512172, -0.05, 0.00, 24.32, 24.86
"
1618787953.4654636,,"42515160, -0.02, 0.00, 24.32, 24.84
"
1618787953.4684558,,"42518152, -0.05, -0.02, 24.32, 24.84
"
1618787953.4714477,,"42521172, -0.03, -0.02, 24.32, 24.84
"
1618787953.4744637,,"42524196, -0.03, 0.02, 24.32, 24.86
"
1618787953.4774544,,"42527216, -0.03, -0.02, 24.31, 24.86
"
1618787953.4804468,,"42530240, -0.02, -0.02, 24.31, 24.88
"
1618787953.483416,,"42533264, -0.02, -0.02, 24.31, 24.88
"
1618787953.4864082,,"42536284, -0.02, 0.00, 24.32, 24.88
"
1618787953.4894085,,"42539272, -0.02, -0.03, 24.32, 24.88
"
1618787953.4924273,,"42542284, -0.02, -0.02, 24.32, 24.88
"
1618787953.4954176,,"42545308, -0.02, -0.02, 24.27, 24.88
"
1618787953.498396,,"42548332, -0.03, -0.03, 24.27, 24.83
"
1618787953.5013702,,"42551356, -0.03, -0.03, 24.27, 24.83
"
1618787953.504361,,"42554380, -0.03, 0.02, 24.31, 24.86
"
1618787953.507352,,"42557392, -0.03, 0.00, 24.31, 24.86
"
1618787953.510344,,"42560384, -0.02, 0.02, 24.31, 24.86
"
1618787953.5143344,,"42563400, -0.02, -0.03, 24.30, 24.85
"
1618787953.516328,,"42566420, 0.00, 0.03, 24.30, 24.85
"
1618787953.5193484,,"42569396, 0.02, 0.02, 24.30, 24.85
"
1618787953.5223129,,"42572396, -0.03, 0.02, 24.30, 24.82
"
1618787953.5253294,,"42575416, -0.02, -0.02, 24.30, 24.82
"
1618787953.5282965,,"42578440, -0.05, 0.00, 24.30, 24.83
"
1618787953.5312889,,"42581424, -0.03, -0.02, 24.30, 24.83
"
1618787953.5352776,,"42584448, -0.03, -0.02, 24.30, 24.83
"
1618787953.5382698,,"42587472, -0.07, -0.03, 24.30, 24.85
"
1618787953.5402646,,"42590496, -0.07, 0.00, 24.31, 24.85
"
1618787953.5432568,,"42593492, -0.07, 0.00, 24.31, 24.85
"
1618787953.546249,,"42596484, 0.00, -0.03, 24.31, 24.85
"
1618787953.549241,,"42599464, -0.02, 0.03, 24.28, 24.85
"
1618787953.552233,,"42602472, -0.05, 0.00, 24.28, 24.85
"
1618787953.5552251,,"42605456, -0.08, 0.00, 24.28, 24.85
"
1618787953.5582182,,"42608440, -0.03, 0.00, 24.31, 24.85
"
1618787953.5612092,,"42611428, -0.02, -0.03, 24.31, 24.83
"
1618787953.5642006,,"42614452, -0.03, -0.02, 24.31, 24.83
"
1618787953.5681899,,"42617476, -0.03, -0.02, 24.32, 24.83
"
1618787953.5711823,,"42620500, -0.05, -0.02, 24.32, 24.83
"
1618787953.5741756,,"42623520, -0.07, -0.02, 24.32, 24.83
"
1618787953.5771675,,"42626544, -0.05, 0.02, 24.33, 24.86
"
1618787953.58016,,"42629564, -0.03, -0.02, 24.33, 24.86
"
1618787953.583152,,"42632588, -0.03, 0.02, 24.33, 24.86
"
1618787953.5861442,,"42635604, -0.05, -0.05, 24.32, 24.84
"
1618787953.5891361,,"42638628, -0.05, 0.00, 24.32, 24.84
"
1618787953.5921283,,"42641604, -0.02, 0.03, 24.32, 24.84
"
1618787953.59512,,"42644624, -0.05, 0.00, 24.34, 24.86
"
1618787953.598112,,"42647608, -0.03, -0.02, 24.34, 24.86
"
1618787953.601105,,"42650620, -0.03, 0.00, 24.34, 24.82
"
1618787953.6040962,,"42653608, -0.03, -0.07, 24.32, 24.82
"
1618787953.607087,,"42656632, -0.05, 0.00, 24.32, 24.82
"
1618787953.6100805,,"42659620, -0.02, -0.03, 24.32, 24.84
"
1618787953.6130724,,"42662644, -0.02, 0.00, 24.32, 24.84
"
1618787953.616067,,"42665628, -0.03, 0.00, 24.32, 24.84
"
1618787953.6190565,,"42668616, -0.02, -0.02, 24.32, 24.83
"
1618787953.622047,,"42671640, -0.03, 0.02, 24.30, 24.83
"
1618787953.6250398,,"42674656, -0.03, 0.00, 24.30, 24.85
"
1618787953.6280599,,"42677644, -0.03, -0.02, 24.30, 24.85
"
1618787953.631048,,"42680664, -0.03, 0.03, 24.33, 24.85
"
1618787953.6340382,,"42683684, -0.05, -0.03, 24.33, 24.83
"
1618787953.6370275,,"42686708, -0.02, -0.02, 24.33, 24.83
"
1618787953.64,,"42689736, -0.05, 0.00, 24.31, 24.83
"
1618787953.6430101,,"42692728, -0.02, -0.02, 24.31, 24.84
"
1618787953.6460025,,"42695752, 0.00, 0.02, 24.31, 24.84
"
1618787953.648995,,"42698720, -0.02, -0.03, 24.30, 24.82
"
1618787953.6519868,,"42701740, -0.03, -0.02, 24.30, 24.82
"
1618787953.6549785,,"42704764, -0.03, 0.00, 24.30, 24.82
"
1618787953.6579776,,"42707752, -0.05, -0.03, 24.32, 24.81
"
1618787953.6609628,,"42710776, -0.07, -0.02, 24.32, 24.81
"
1618787953.663956,,"42713804, -0.07, 0.02, 24.32, 24.81
"
1618787953.6669476,,"42716820, -0.08, -0.02, 24.30, 24.84
"
1618787953.6699388,,"42719844, -0.03, 0.02, 24.30, 24.84
"
1618787953.6713595,,"42722860, 0.00, 0.00, 24.30, 24.83
"
1618787953.6713595,,"42725804, -0.07, 0.00, 24.30, 24.83
"
1618787953.6713595,,"42728792, -0.05, -0.02, 24.30, 24.83
"
1618787953.6813607,,"42731812, -0.03, -0.05, 24.30, 24.84
"
1618787953.6813607,,"42734836, -0.07, -0.03, 24.36, 24.84
"
1618787953.6813607,,"42737864, -0.03, 0.00, 24.36, 24.84
"
1618787953.6813607,,"42740852, -0.03, -0.02, 24.36, 24.86
"
1618787953.69136,,"42743876, -0.03, 0.00, 24.34, 24.86
"
1618787953.69136,,"42746856, -0.03, -0.02, 24.34, 24.87
"
1618787953.69136,,"42749880, -0.02, -0.02, 24.34, 24.87
"
1618787953.701361,,"42752900, -0.07, -0.02, 24.33, 24.87
"
1618787953.701361,,"42755924, -0.03, -0.02, 24.33, 24.85
"
1618787953.701361,,"42758948, -0.03, 0.02, 24.33, 24.85
"
1618787953.7113612,,"42761964, -0.03, -0.03, 24.34, 24.84
"
1618787953.7113612,,"42764988, -0.05, -0.02, 24.34, 24.84
"
1618787953.7113612,,"42768008, -0.03, 0.02, 24.34, 24.84
"
1618787953.7113612,,"42771024, -0.05, -0.03, 24.29, 24.86
"
1618787953.7213626,,"42774044, -0.05, -0.03, 24.29, 24.86
"
1618787953.7213626,,"42777068, -0.03, -0.02, 24.29, 24.86
"
1618787953.7213626,,"42780088, -0.03, -0.03, 24.30, 24.86
"
1618787953.7324417,,"42783112, -0.03, 0.00, 24.30, 24.86
"
1618787953.7324417,,"42786100, -0.03, -0.03, 24.30, 24.82
"
1618787953.7324417,,"42789124, -0.07, 0.00, 24.32, 24.82
"
1618787953.7324417,,"42792112, -0.05, 0.00, 24.32, 24.82
"
1618787953.742445,,"42795104, -0.05, 0.00, 24.32, 24.85
"
1618787953.742445,,"42798096, -0.05, 0.02, 24.32, 24.85
"
1618787953.742445,,"42801104, -0.03, 0.00, 24.32, 24.85
"
1618787953.7524452,,"42804092, -0.02, -0.03, 24.32, 24.83
"
1618787953.7524452,,"42807116, -0.05, 0.00, 24.27, 24.83
"
1618787953.7524452,,"42810104, -0.03, -0.02, 24.27, 24.85
"
1618787953.7624452,,"42813124, 0.00, -0.02, 24.27, 24.85
"
1618787953.7624452,,"42816104, -0.05, -0.02, 24.32, 24.85
"
1618787953.7624452,,"42819124, -0.05, -0.02, 24.32, 24.84
"
1618787953.7624452,,"42822148, -0.05, -0.02, 24.32, 24.84
"
1618787953.7724464,,"42825168, -0.07, -0.02, 24.31, 24.84
"
1618787953.7724464,,"42828192, -0.03, -0.02, 24.31, 24.82
"
1618787953.7724464,,"42831220, -0.05, -0.03, 24.31, 24.82
"
