Time,Tag,Flow
1618887134.3666472,,"58705000, -0.0333, -0.0333, 24.89, 24.94
"
1618887134.3716388,,"58710000, 0.0500, 0.0000, 24.88, 24.92
"
1618887134.3766203,,"58715000, -0.0167, 0.0167, 24.88, 24.92
"
1618887134.381607,,"58720000, 0.0000, 0.0500, 24.90, 24.92
"
1618887134.3865964,,"58725004, -0.0333, 0.0500, 24.88, 24.93
"
1618887134.3915832,,"58730004, -0.0167, -0.0167, 24.88, 24.93
"
1618887134.396571,,"58735004, 0.0000, 0.0000, 24.90, 24.90
"
1618887134.4015565,,"58740000, -0.0500, -0.0167, 24.88, 24.90
"
1618887134.406543,,"58745008, -0.0500, -0.0167, 24.89, 24.92
"
1618887134.4115305,,"58750000, 0.0000, -0.0333, 24.89, 24.90
"
1618887134.416518,,"58755008, 0.0000, -0.0333, 24.87, 24.90
"
1618887134.4215117,,"58760008, 0.0500, -0.0500, 24.89, 24.92
"
1618887134.426491,,"58765008, 0.0167, -0.0167, 24.88, 24.94
"
1618887134.4314775,,"58770008, -0.0167, -0.0167, 24.88, 24.93
"
1618887134.4364645,,"58775008, -0.0167, -0.0667, 24.87, 24.93
"
1618887134.4414513,,"58780000, -0.0667, -0.0167, 24.86, 24.92
"
1618887134.4464362,,"58785000, -0.0333, 0.0000, 24.86, 24.97
"
1618887134.4514225,,"58790004, -0.0167, -0.0333, 24.89, 24.97
"
1618887134.4564097,,"58795008, 0.0500, 0.0000, 24.88, 24.92
"
1618887134.4613962,,"58800008, -0.0167, -0.0333, 24.90, 24.92
"
1618887134.4663854,,"58805008, 0.0000, 0.0167, 24.90, 24.89
"
1618887134.471371,,"58810000, 0.0167, -0.0500, 24.86, 24.89
"
1618887134.4763572,,"58815000, 0.0000, 0.0000, 24.89, 24.96
"
1618887134.481345,,"58820008, 0.0000, 0.0000, 24.90, 24.92
"
1618887134.4863305,,"58825008, 0.0000, 0.0500, 24.90, 24.92
"
1618887134.4913185,,"58830004, 0.0000, 0.0000, 24.88, 24.94
"
1618887134.496305,,"58835000, -0.0167, -0.0333, 24.86, 24.93
"
1618887134.501292,,"58840008, 0.0000, -0.0333, 24.86, 24.93
"
1618887134.5062788,,"58845000, 0.0333, -0.0333, 24.86, 24.89
"
1618887134.5112658,,"58850000, 0.0333, 0.0500, 24.92, 24.92
"
1618887134.5162532,,"58855000, 0.0000, 0.0000, 24.88, 24.92
"
1618887134.5212395,,"58860004, -0.0500, -0.0667, 24.88, 24.92
"
1618887134.5262265,,"58865008, -0.0333, 0.0833, 24.88, 24.93
"
1618887134.5312123,,"58870004, -0.0167, -0.0167, 24.88, 24.90
"
1618887134.5361993,,"58875004, -0.0667, 0.0000, 24.88, 24.90
"
1618887134.5411863,,"58880000, -0.0667, 0.0167, 24.88, 24.95
"
1618887134.5461729,,"58885008, 0.0000, -0.0500, 24.86, 24.96
"
1618887134.5511594,,"58890000, 0.0000, 0.0000, 24.89, 24.88
"
1618887134.5561469,,"58895004, -0.0167, -0.1000, 24.89, 24.88
"
1618887134.5611336,,"58900008, 0.0333, -0.0167, 24.90, 24.90
"
1618887134.5661201,,"58905008, -0.0500, 0.0500, 24.88, 24.90
"
1618887134.571107,,"58910000, 0.0333, 0.1000, 24.88, 24.90
"
1618887134.576094,,"58915004, 0.0167, 0.0000, 24.88, 24.92
"
1618887134.5810804,,"58920008, 0.0333, 0.0000, 24.92, 24.93
"
1618887134.5860672,,"58925004, 0.0833, -0.0333, 24.87, 24.93
"
1618887134.591054,,"58930004, -0.0500, 0.0000, 24.87, 24.93
"
1618887134.5960412,,"58935004, 0.0500, -0.0333, 24.90, 24.94
"
1618887134.6010282,,"58940000, -0.0833, -0.0667, 24.88, 24.92
"
1618887134.606016,,"58945000, -0.0167, 0.0667, 24.86, 24.92
"
1618887134.611002,,"58950000, 0.0167, -0.0333, 24.86, 24.94
"
1618887134.6159885,,"58955000, 0.0000, -0.0333, 24.88, 24.93
"
1618887134.620975,,"58960000, 0.0167, -0.0333, 24.88, 24.92
"
1618887134.6259625,,"58965008, 0.0333, -0.0333, 24.88, 24.92
"
1618887134.630949,,"58970000, 0.0333, -0.0500, 24.88, 24.88
"
1618887134.635936,,"58975000, 0.0167, 0.0000, 24.89, 24.92
"
1618887134.6409225,,"58980000, -0.0500, 0.0000, 24.86, 24.92
"
1618887134.6459095,,"58985004, 0.0500, -0.0500, 24.86, 24.94
"
1618887134.6508963,,"58990000, -0.0167, 0.0000, 24.92, 24.92
"
1618887134.6558838,,"58995000, -0.0500, 0.0000, 24.86, 24.92
"
1618887134.6608703,,"59000000, -0.0500, 0.0333, 24.88, 24.92
"
1618887134.665857,,"59005000, -0.0333, 0.0167, 24.88, 24.95
"
1618887134.6708436,,"59010008, -0.0167, 0.0000, 24.85, 24.94
"
1618887134.6758306,,"59015008, 0.0333, -0.0833, 24.89, 24.94
"
1618887134.6808176,,"59020008, -0.0333, 0.0000, 24.92, 24.90
"
1618887134.6858046,,"59025004, -0.0333, -0.0667, 24.92, 24.89
"
1618887134.6907914,,"59030004, 0.0500, -0.0333, 24.90, 24.96
"
1618887134.6957781,,"59035000, 0.0000, 0.0500, 24.88, 24.96
"
1618887134.7007663,,"59040000, -0.0167, -0.0500, 24.88, 24.92
"
1618887134.7057526,,"59045000, 0.0000, 0.0000, 24.84, 24.94
"
1618887134.710739,,"59050004, -0.0167, 0.0333, 24.88, 24.94
"
1618887134.7157254,,"59055004, -0.0333, -0.0333, 24.91, 24.92
"
1618887134.720712,,"59060008, -0.0167, 0.0000, 24.91, 24.90
"
1618887134.7256994,,"59065004, 0.0000, 0.0167, 24.88, 24.90
"
1618887134.730686,,"59070000, 0.0667, -0.0333, 24.90, 24.94
"
1618887134.735673,,"59075004, -0.0167, -0.0167, 24.92, 24.94
"
1618887134.74066,,"59080004, -0.0833, 0.0500, 24.92, 24.92
"
1618887134.745646,,"59085000, 0.0333, 0.0000, 24.84, 24.92
"
1618887134.7506335,,"59090000, -0.0500, -0.0500, 24.90, 24.90
"
1618887134.7556193,,"59095004, 0.0167, -0.0167, 24.90, 24.98
"
1618887134.7606065,,"59100000, -0.0167, -0.0333, 24.90, 24.98
"
1618887134.7655935,,"59105004, 0.0000, -0.0333, 24.88, 24.92
"
1618887134.7705805,,"59110000, -0.0667, -0.0500, 24.88, 24.93
"
1618887134.7755673,,"59115000, 0.0167, -0.0500, 24.88, 24.92
"
1618887134.780554,,"59120004, -0.0500, -0.0333, 24.92, 24.92
"
1618887134.785554,,"59125004, -0.0167, 0.0500, 24.89, 24.90
"
1618887134.790528,,"59130000, -0.0500, -0.0500, 24.88, 24.96
"
1618887134.7955146,,"59135000, -0.0167, -0.1000, 24.88, 24.96
"
1618887134.8005016,,"59140000, 0.0000, 0.0167, 24.92, 24.91
"
1618887134.8054888,,"59145000, -0.0167, -0.0167, 24.87, 24.92
"
1618887134.8104753,,"59150000, 0.0167, -0.0167, 24.87, 24.90
"
1618887134.8144877,,"59155004, 0.0167, -0.0333, 24.88, 24.90
"
1618887134.8194947,,"59160000, 0.0333, -0.0167, 24.86, 24.90
"
1618887134.8244643,,"59165004, 0.0167, 0.0333, 24.88, 24.92
"
1618887134.8294497,,"59170000, -0.0667, 0.0000, 24.88, 24.92
"
1618887134.8344367,,"59175004, -0.0167, -0.0167, 24.88, 24.94
"
1618887134.8394237,,"59180004, 0.0000, -0.0500, 24.87, 24.92
"
1618887134.8443868,,"59185000, -0.0500, -0.0333, 24.91, 24.90
"
1618887134.8493745,,"59190008, 0.0167, -0.0333, 24.91, 24.90
"
1618887134.8543618,,"59195008, 0.0000, -0.0333, 24.89, 24.91
"
1618887134.8593483,,"59200004, -0.0667, -0.0167, 24.87, 24.90
"
1618887134.8643348,,"59205008, 0.0167, -0.0333, 24.87, 24.90
"
1618887134.8693218,,"59210000, 0.0500, -0.0167, 24.88, 24.92
"
1618887134.8743086,,"59215004, 0.0167, -0.0667, 24.88, 24.92
"
1618887134.8792949,,"59220004, 0.0333, 0.0167, 24.90, 24.92
"
1618887134.8842826,,"59225008, 0.0333, 0.0333, 24.90, 24.92
"
1618887134.8892684,,"59230008, 0.0333, 0.0500, 24.81, 24.92
"
1618887134.8942556,,"59235008, 0.0500, -0.0167, 24.86, 24.92
"
1618887134.8992424,,"59240008, 0.0500, -0.0167, 24.89, 24.92
"
1618887134.9042296,,"59245004, 0.0000, -0.1000, 24.89, 24.94
"
1618887134.9092293,,"59250000, 0.0000, -0.0333, 24.90, 24.92
"
1618887134.9142025,,"59255000, 0.0167, -0.0833, 24.88, 24.92
"
1618887134.919189,,"59260004, -0.0833, -0.0167, 24.88, 24.93
"
1618887134.9241767,,"59265008, 0.0333, 0.0000, 24.88, 24.94
"
1618887134.9291623,,"59270008, -0.0333, -0.0667, 24.88, 24.94
"
1618887134.934149,,"59275008, -0.0333, 0.0000, 24.90, 24.94
"
1618887134.9391398,,"59280004, 0.0333, 0.0500, 24.90, 24.87
"
1618887134.9441226,,"59285004, 0.0667, 0.0167, 24.89, 24.94
"
1618887134.9491322,,"59290008, -0.0167, -0.0167, 24.90, 24.94
"
1618887134.9541197,,"59295004, 0.0667, 0.0333, 24.90, 24.92
"
1618887134.9591057,,"59300016, 0.0000, -0.0167, 24.90, 24.92
"
1618887134.96409,,"59305008, -0.0333, -0.0500, 24.89, 24.92
"
1618887134.9690566,,"59310000, -0.0833, -0.1167, 24.88, 24.92
"
1618887134.974045,,"59315000, 0.0000, -0.0167, 24.88, 24.90
"
1618887134.9790318,,"59320000, 0.0000, 0.0000, 24.88, 24.89
"
1618887134.9840193,,"59325004, -0.0167, -0.0833, 24.90, 24.89
"
1618887134.9890065,,"59330000, 0.0333, 0.0167, 24.84, 24.94
"
1618887134.9939933,,"59335004, 0.0167, -0.0500, 24.84, 24.93
"
1618887134.998984,,"59340008, -0.0667, 0.0000, 24.88, 24.92
"
1618887135.0039668,,"59345000, 0.0000, 0.0667, 24.88, 24.92
"
1618887135.008954,,"59350008, 0.0000, -0.0333, 24.88, 24.95
"
1618887135.0139391,,"59355000, -0.0167, 0.0500, 24.88, 24.92
"
1618887135.0189388,,"59360000, 0.0333, 0.0167, 24.88, 24.92
"
1618887135.023913,,"59365004, 0.0000, -0.0833, 24.90, 24.92
"
1618887135.028919,,"59370008, -0.0333, -0.0333, 24.90, 24.92
"
1618887135.0338864,,"59375004, -0.0833, 0.0000, 24.90, 24.94
"
1618887135.0388966,,"59380000, 0.0000, 0.0000, 24.90, 24.94
"
1618887135.04386,,"59385004, 0.0000, -0.0500, 24.89, 24.92
"
1618887135.0488465,,"59390000, 0.0000, 0.0000, 24.89, 24.92
"
1618887135.053833,,"59395008, -0.0667, -0.0500, 24.88, 24.92
"
1618887135.0588217,,"59400000, 0.0000, 0.0000, 24.90, 24.90
"
1618887135.0638065,,"59405004, 0.0333, -0.0833, 24.89, 24.92
"
1618887135.0687947,,"59410004, -0.0333, 0.0500, 24.89, 24.92
"
1618887135.07378,,"59415008, 0.0167, -0.0167, 24.86, 24.92
"
1618887135.078767,,"59420000, -0.0333, 0.0500, 24.89, 24.92
"
1618887135.083777,,"59425004, -0.0167, -0.0167, 24.89, 24.92
"
1618887135.0887423,,"59430008, -0.0500, -0.0333, 24.84, 24.92
"
1618887135.093728,,"59435000, 0.0500, 0.0000, 24.90, 24.92
"
1618887135.0987148,,"59440008, 0.0167, 0.0333, 24.87, 24.92
"
1618887135.1037016,,"59445000, 0.0333, 0.0500, 24.87, 24.92
"
1618887135.1086884,,"59450004, 0.1167, 0.0500, 24.88, 24.92
"
1618887135.1136758,,"59455008, 0.1000, 0.0667, 24.86, 24.95
"
