Time,Tag,Flow
1618887237.2888842,,"8615008, -0.0333, -0.0333, 24.93, 24.98
"
1618887237.2938712,,"8620004, 0.0167, -0.0167, 24.93, 24.94
"
1618887237.2988672,,"8625008, 0.0167, -0.0167, 24.96, 25.00
"
1618887237.3038456,,"8630000, 0.0000, -0.1000, 24.92, 25.00
"
1618887237.308831,,"8635004, -0.0833, -0.0333, 24.93, 24.98
"
1618887237.3138175,,"8640000, 0.0167, -0.0333, 24.93, 24.96
"
1618887237.3188043,,"8645004, -0.0500, 0.0333, 24.92, 24.96
"
1618887237.3237925,,"8650004, -0.0167, -0.0333, 24.90, 24.96
"
1618887237.328779,,"8655000, -0.0833, -0.0333, 24.90, 24.98
"
1618887237.3337648,,"8660000, -0.0500, -0.0167, 24.92, 24.97
"
1618887237.3387525,,"8665000, -0.0333, 0.0167, 24.92, 24.97
"
1618887237.3437397,,"8670004, 0.0000, 0.0000, 24.93, 24.97
"
1618887237.3487296,,"8675004, 0.0500, 0.0333, 24.93, 24.96
"
1618887237.3537128,,"8680004, -0.0167, -0.0167, 24.94, 24.96
"
1618887237.3586996,,"8685000, -0.0333, -0.0167, 24.91, 24.97
"
1618887237.3636856,,"8690008, -0.0333, -0.0333, 24.93, 24.99
"
1618887237.3686736,,"8695004, 0.0000, -0.0333, 24.93, 24.97
"
1618887237.3736603,,"8700008, -0.0167, 0.0000, 24.94, 24.97
"
1618887237.3786469,,"8705000, 0.0333, 0.0167, 24.94, 25.00
"
1618887237.383634,,"8710008, -0.0167, -0.0667, 24.94, 24.98
"
1618887237.388622,,"8715004, -0.0167, -0.0500, 24.92, 24.98
"
1618887237.3946059,,"8720000, 0.0000, 0.0000, 24.92, 24.94
"
1618887237.3985944,,"8725004, -0.0167, 0.0167, 24.89, 24.96
"
1618887237.403581,,"8730008, -0.0667, 0.0667, 24.89, 24.96
"
1618887237.4085681,,"8735004, -0.0167, -0.0500, 24.92, 24.96
"
1618887237.4135547,,"8740012, 0.0167, -0.0167, 24.92, 24.96
"
1618887237.4185417,,"8745008, 0.0667, -0.0833, 24.92, 24.99
"
1618887237.4235282,,"8750000, 0.0167, 0.0333, 24.92, 24.99
"
1618887237.428515,,"8755004, -0.0333, -0.0333, 24.92, 24.98
"
1618887237.4335017,,"8760000, -0.0667, -0.0333, 24.92, 24.98
"
1618887237.4384897,,"8765004, 0.0000, 0.0667, 24.92, 24.97
"
1618887237.4434755,,"8770008, -0.0167, -0.0500, 24.90, 24.97
"
1618887237.4484646,,"8775000, -0.0667, 0.0000, 24.94, 24.98
"
1618887237.4534512,,"8780004, -0.0500, -0.0333, 24.92, 24.95
"
1618887237.4584377,,"8785004, 0.0000, -0.0500, 24.92, 24.95
"
1618887237.4634228,,"8790000, 0.0000, 0.0167, 24.90, 24.98
"
1618887237.4684098,,"8795000, -0.0167, 0.0667, 24.94, 24.98
"
1618887237.4733968,,"8800004, -0.0167, -0.0333, 24.92, 24.96
"
1618887237.4783838,,"8805000, -0.0333, 0.0167, 24.92, 24.96
"
1618887237.4833703,,"8810004, 0.0167, -0.0167, 24.92, 24.96
"
1618887237.488357,,"8815008, -0.0667, -0.1167, 24.92, 25.02
"
1618887237.4943416,,"8820000, 0.0000, 0.0333, 24.92, 25.02
"
1618887237.4993284,,"8825000, 0.0333, -0.0167, 24.92, 24.98
"
1618887237.5033176,,"8830008, 0.0167, -0.0833, 24.94, 24.96
"
1618887237.5083044,,"8835004, 0.0000, -0.0167, 24.92, 24.96
"
1618887237.5132911,,"8840004, -0.0333, 0.0167, 24.92, 24.96
"
1618887237.5182776,,"8845004, -0.0167, -0.0333, 24.97, 24.98
"
1618887237.5232651,,"8850000, 0.0000, -0.0500, 24.90, 24.97
"
1618887237.5282514,,"8855004, -0.0167, 0.0500, 24.93, 24.97
"
1618887237.5332382,,"8860008, 0.0000, 0.0167, 24.93, 24.98
"
1618887237.538226,,"8865000, 0.0000, -0.0500, 24.94, 24.98
"
1618887237.5432117,,"8870000, 0.0000, 0.0167, 24.93, 24.98
"
1618887237.5481994,,"8875000, -0.0500, 0.0000, 24.93, 24.98
"
1618887237.553188,,"8880008, 0.0000, 0.0167, 24.96, 25.00
"
1618887237.5581753,,"8885000, 0.0333, -0.0167, 24.92, 24.92
"
1618887237.5631616,,"8890004, -0.0167, -0.0667, 24.94, 24.92
"
1618887237.568178,,"8895000, -0.0167, -0.0167, 24.94, 25.00
"
1618887237.5731356,,"8900008, 0.0000, -0.0667, 24.93, 24.97
"
1618887237.5781221,,"8905004, -0.0333, 0.0167, 24.93, 24.97
"
1618887237.5831082,,"8910008, 0.0167, 0.0833, 24.93, 24.97
"
1618887237.5880945,,"8915000, 0.0000, 0.0167, 24.93, 24.98
"
1618887237.5930808,,"8920008, 0.0000, -0.0167, 24.95, 25.00
"
1618887237.5980675,,"8925008, 0.0167, -0.0500, 24.88, 25.00
"
1618887237.6030543,,"8930000, -0.0167, -0.0833, 24.88, 25.00
"
1618887237.6080413,,"8935008, 0.0500, -0.1000, 24.95, 24.96
"
1618887237.6130283,,"8940004, -0.0500, -0.0167, 24.92, 24.96
"
1618887237.618015,,"8945000, 0.0167, 0.0000, 24.95, 25.00
"
1618887237.623002,,"8950008, 0.0000, 0.0000, 24.95, 24.97
"
1618887237.6279886,,"8955000, 0.0000, -0.0833, 24.93, 24.96
"
1618887237.6329756,,"8960000, 0.0167, -0.0667, 24.92, 24.96
"
1618887237.637963,,"8965004, -0.0167, 0.0000, 24.93, 24.99
"
1618887237.642951,,"8970000, -0.0500, -0.0167, 24.93, 24.95
"
1618887237.6479383,,"8975008, 0.0000, -0.0167, 24.95, 24.95
"
1618887237.6529572,,"8980008, -0.0667, -0.0500, 24.94, 24.94
"
1618887237.65791,,"8985004, 0.0333, -0.0167, 24.94, 25.00
"
1618887237.662899,,"8990008, -0.0167, 0.0167, 24.86, 25.00
"
1618887237.6678855,,"8995000, 0.0000, -0.0333, 24.92, 25.00
"
1618887237.6728718,,"9000004, 0.0333, 0.0500, 24.93, 24.95
"
1618887237.6778588,,"9005000, -0.0333, 0.0667, 24.93, 24.96
"
1618887237.682844,,"9010004, 0.0167, -0.0333, 24.90, 24.96
"
1618887237.6878314,,"9015004, 0.0333, -0.0667, 24.93, 24.97
"
1618887237.6928174,,"9020008, -0.0167, -0.0333, 24.92, 25.00
"
1618887237.6978042,,"9025008, -0.0333, 0.0000, 24.92, 25.00
"
1618887237.702824,,"9030004, 0.0167, -0.0500, 24.95, 25.00
"
1618887237.7077777,,"9035000, 0.0167, -0.0333, 24.92, 24.97
"
1618887237.712765,,"9040008, 0.0167, -0.0333, 24.92, 24.98
"
1618887237.717751,,"9045008, 0.0167, 0.0333, 24.93, 24.98
"
1618887237.7227387,,"9050008, -0.0167, 0.0333, 24.93, 24.99
"
1618887237.7277591,,"9055000, 0.0167, 0.0000, 24.96, 24.94
"
1618887237.7324982,,"9060004, 0.0167, 0.0333, 24.96, 24.94
"
1618887237.7374964,,"9065004, 0.0333, -0.0167, 24.93, 24.95
"
1618887237.742472,,"9070008, -0.0333, 0.0167, 24.90, 24.98
"
1618887237.747458,,"9075004, -0.0167, -0.0667, 24.92, 24.98
"
1618887237.7524788,,"9080000, 0.0167, -0.0167, 24.92, 24.98
"
