Time,Tag,Flow
1618536034.1240785,,"8678064, -0.05, -0.02, 24.76, 25.06
"
1618536034.1270728,,"8681032, -0.03, 0.03, 24.76, 25.06
"
1618536034.130064,,"8683996, -0.02, 0.02, 24.76, 25.09
"
1618536034.1330788,,"8686956, 0.02, 0.02, 24.80, 25.09
"
1618536034.1360488,,"8689900, -0.02, -0.02, 24.80, 25.09
"
1618536034.1390424,,"8692864, 0.00, -0.02, 24.80, 25.08
"
1618536034.1420605,,"8695776, -0.05, 0.03, 24.78, 25.08
"
1618536034.1450589,,"8698736, -0.03, 0.00, 24.78, 25.08
"
1618536034.1480443,,"8701668, 0.00, 0.00, 24.78, 25.07
"
1618536034.1510088,,"8704556, 0.00, -0.02, 24.80, 25.07
"
1618536034.154001,,"8707476, -0.02, 0.02, 24.80, 25.07
"
1618536034.1569953,,"8710436, -0.03, -0.02, 24.80, 25.09
"
1618536034.1599858,,"8713396, -0.02, -0.02, 24.78, 25.09
"
1618536034.1629777,,"8716360, -0.03, 0.00, 24.78, 25.09
"
1618536034.164973,,"8719284, 0.02, -0.02, 24.78, 25.06
"
1618536034.167965,,"8722236, -0.03, 0.00, 24.79, 25.06
"
1618536034.170957,,"8725168, -0.02, 0.00, 24.79, 25.06
"
1618536034.173949,,"8728096, 0.00, -0.03, 24.79, 25.07
"
1618536034.1769402,,"8731016, -0.05, 0.00, 24.79, 25.07
"
1618536034.1799324,,"8733948, -0.05, -0.02, 24.79, 25.07
"
1618536034.1829243,,"8736908, 0.00, -0.02, 24.79, 25.09
"
1618536034.1859164,,"8739816, 0.00, 0.00, 24.79, 25.09
"
1618536034.1889079,,"8742704, -0.07, 0.02, 24.79, 25.04
"
1618536034.1918995,,"8745664, -0.03, 0.00, 24.79, 25.04
"
1618536034.1948917,,"8748596, -0.02, 0.00, 24.77, 25.04
"
1618536034.1978838,,"8751528, -0.02, -0.02, 24.77, 25.09
"
1618536034.2008755,,"8754496, -0.02, -0.02, 24.77, 25.09
"
1618536034.2038674,,"8757460, -0.03, -0.03, 24.77, 25.05
"
1618536034.2068608,,"8760428, -0.07, 0.02, 24.77, 25.05
"
1618536034.2098682,,"8763384, -0.03, 0.00, 24.77, 25.05
"
1618536034.2118473,,"8766316, -0.03, -0.02, 24.77, 25.08
"
1618536034.2148707,,"8769284, 0.00, -0.02, 24.77, 25.08
"
1618536034.2178597,,"8772204, 0.00, -0.02, 24.77, 25.06
"
1618536034.2208223,,"8775124, 0.00, -0.05, 24.76, 25.06
"
1618536034.2238367,,"8778048, -0.02, -0.03, 24.76, 25.06
"
1618536034.226829,,"8781016, 0.00, -0.02, 24.76, 25.08
"
1618536034.2297988,,"8783936, -0.02, -0.03, 24.80, 25.08
"
1618536034.2327902,,"8786896, -0.02, 0.00, 24.80, 25.08
"
1618536034.2343435,,"8789824, -0.03, 0.02, 24.80, 25.06
"
1618536034.2343435,,"8792784, -0.02, -0.03, 24.82, 25.06
"
1618536034.2343435,,"8795752, -0.03, -0.03, 24.82, 25.06
"
1618536034.2443728,,"8798724, -0.02, 0.00, 24.82, 25.06
"
1618536034.2443728,,"8801656, -0.03, -0.03, 24.80, 25.06
"
1618536034.2443728,,"8804620, 0.00, 0.03, 24.80, 25.10
"
1618536034.2443728,,"8807544, -0.02, 0.02, 24.80, 25.10
"
1618536034.2543452,,"8810512, -0.03, -0.03, 24.79, 25.10
"
1618536034.2543452,,"8813476, -0.02, 0.00, 24.79, 25.08
"
1618536034.2543452,,"8816404, -0.02, -0.02, 24.79, 25.08
"
1618536034.2643454,,"8819368, -0.02, 0.02, 24.80, 25.09
"
1618536034.2643454,,"8822328, -0.03, -0.02, 24.80, 25.09
"
1618536034.2643454,,"8825292, 0.00, -0.02, 24.80, 25.09
"
1618536034.2743742,,"8828212, -0.02, -0.02, 24.76, 25.07
"
1618536034.2743742,,"8831168, -0.03, 0.02, 24.76, 25.07
"
1618536034.2743742,,"8834132, 0.02, 0.00, 24.76, 25.08
"
1618536034.2743742,,"8837040, -0.03, -0.02, 24.78, 25.08
"
1618536034.2843673,,"8840004, -0.03, -0.02, 24.78, 25.08
"
1618536034.2843673,,"8842968, 0.00, 0.00, 24.78, 25.06
"
1618536034.2843673,,"8845856, -0.02, -0.02, 24.81, 25.06
"
1618536034.294373,,"8848824, -0.03, -0.03, 24.81, 25.06
"
1618536034.294373,,"8851792, -0.05, 0.00, 24.81, 25.04
"
1618536034.294373,,"8854716, -0.03, 0.00, 24.80, 25.04
"
1618536034.294373,,"8857648, -0.03, -0.03, 24.80, 25.07
"
1618536034.3043466,,"8860604, 0.00, -0.02, 24.80, 25.07
"
1618536034.3043466,,"8863524, -0.03, -0.02, 24.79, 25.07
"
1618536034.3043466,,"8866492, -0.03, 0.00, 24.79, 25.06
"
1618536034.3143647,,"8869420, -0.05, 0.00, 24.79, 25.06
"
1618536034.3143647,,"8872352, -0.02, -0.02, 24.76, 25.06
"
1618536034.3143647,,"8875320, -0.02, -0.02, 24.76, 25.08
"
1618536034.3243456,,"8878276, -0.02, 0.02, 24.76, 25.08
"
1618536034.3243456,,"8881240, -0.02, 0.02, 24.76, 25.08
"
1618536034.3243456,,"8884192, 0.00, -0.02, 24.76, 25.11
"
1618536034.3243456,,"8887120, -0.02, -0.02, 24.76, 25.11
"
1618536034.3354197,,"8890096, -0.02, 0.00, 24.78, 25.11
"
1618536034.3354197,,"8893036, -0.03, -0.02, 24.78, 25.08
"
1618536034.3354197,,"8896004, -0.02, -0.03, 24.78, 25.08
"
1618536034.3354197,,"8898968, -0.02, -0.02, 24.77, 25.09
"
1618536034.3454366,,"8901932, 0.00, -0.05, 24.77, 25.09
"
1618536034.3454366,,"8904856, -0.03, -0.02, 24.77, 25.09
"
1618536034.3454366,,"8907824, -0.02, 0.00, 24.81, 25.06
"
1618536034.3554296,,"8910752, -0.02, -0.02, 24.81, 25.06
"
1618536034.3554296,,"8913720, -0.02, -0.02, 24.81, 25.05
"
1618536034.3554296,,"8916688, -0.02, 0.03, 24.78, 25.05
"
1618536034.3654482,,"8919648, 0.00, -0.03, 24.78, 25.05
"
1618536034.3654482,,"8922572, 0.02, 0.00, 24.78, 25.06
"
1618536034.3654482,,"8925488, -0.05, 0.03, 24.80, 25.06
"
1618536034.3654482,,"8928440, -0.07, -0.03, 24.80, 25.06
"
1618536034.3754234,,"8931408, 0.00, -0.02, 24.80, 25.06
"
1618536034.3754234,,"8934320, -0.03, 0.02, 24.79, 25.06
"
1618536034.3754234,,"8937284, 0.00, 0.03, 24.79, 25.04
"
1618536034.3854234,,"8940200, -0.03, -0.02, 24.79, 25.04
"
1618536034.3854234,,"8943168, -0.03, -0.03, 24.79, 25.06
"
1618536034.3854234,,"8946136, -0.05, 0.00, 24.79, 25.06
"
1618536034.3854234,,"8949068, -0.02, 0.02, 24.79, 25.06
"
1618536034.3954237,,"8952028, -0.02, 0.02, 24.78, 25.07
"
1618536034.3954237,,"8954992, 0.02, 0.02, 24.78, 25.07
"
1618536034.3954237,,"8957932, -0.03, 0.00, 24.78, 25.06
"
1618536034.4044309,,"8960864, -0.03, -0.05, 24.78, 25.06
"
1618536034.4044309,,"8963828, -0.03, 0.03, 24.78, 25.06
"
1618536034.4044309,,"8966792, 0.00, -0.02, 24.78, 25.07
"
1618536034.414435,,"8969712, 0.00, -0.02, 24.81, 25.07
"
1618536034.414435,,"8972636, 0.00, 0.02, 24.81, 25.07
"
1618536034.414435,,"8975556, -0.02, 0.02, 24.81, 25.07
"
1618536034.414435,,"8978520, -0.03, 0.02, 24.81, 25.07
"
1618536034.4244354,,"8981476, -0.02, 0.02, 24.81, 25.06
"
1618536034.4244354,,"8984436, 0.02, -0.05, 24.81, 25.06
"
1618536034.4244354,,"8987392, -0.03, 0.00, 24.75, 25.05
"
1618536034.4357715,,"8990324, -0.02, -0.02, 24.75, 25.05
"
1618536034.4357715,,"8993292, -0.02, 0.00, 24.75, 25.05
"
1618536034.4357715,,"8996220, 0.00, -0.02, 24.79, 25.08
"
1618536034.4357715,,"8999140, -0.02, -0.03, 24.79, 25.08
"
1618536034.445775,,"9002108, -0.03, -0.03, 24.79, 25.08
"
1618536034.445775,,"9005072, -0.03, -0.03, 24.79, 25.04
"
1618536034.445775,,"9008032, -0.02, -0.02, 24.79, 25.04
"
1618536034.4557753,,"9011000, -0.03, 0.00, 24.79, 25.10
"
1618536034.4557753,,"9013940, -0.02, 0.03, 24.77, 25.10
"
1618536034.4557753,,"9016908, -0.03, -0.02, 24.77, 25.10
"
1618536034.4557753,,"9019880, -0.05, -0.02, 24.77, 25.07
"
1618536034.4657757,,"9022848, -0.02, -0.02, 24.81, 25.07
"
1618536034.4657757,,"9025816, 0.00, 0.03, 24.81, 25.06
"
1618536034.4657757,,"9028736, 0.00, -0.03, 24.81, 25.06
"
1618536034.475775,,"9031652, -0.02, -0.02, 24.77, 25.06
"
1618536034.475775,,"9034620, -0.03, -0.02, 24.77, 25.10
"
1618536034.475775,,"9037592, 0.00, -0.02, 24.77, 25.10
"
1618536034.485775,,"9040520, -0.05, -0.02, 24.81, 25.09
"
1618536034.485775,,"9043488, -0.05, 0.02, 24.81, 25.09
"
1618536034.485775,,"9046448, 0.00, 0.02, 24.81, 25.09
"
1618536034.485775,,"9049364, -0.02, -0.03, 24.78, 25.05
"
1618536034.4957783,,"9052328, 0.00, 0.00, 24.78, 25.05
"
1618536034.4957783,,"9055208, -0.03, 0.03, 24.78, 25.11
"
1618536034.4957783,,"9058176, -0.03, -0.02, 24.81, 25.11
"
1618536034.5042832,,"9061152, -0.02, 0.00, 24.81, 25.11
"
1618536034.5042832,,"9064096, -0.02, 0.00, 24.81, 25.11
"
1618536034.5042832,,"9067036, -0.03, -0.03, 24.79, 25.11
"
1618536034.514287,,"9070012, -0.03, 0.00, 24.79, 25.08
"
1618536034.514287,,"9072944, -0.02, 0.00, 24.79, 25.08
"
1618536034.514287,,"9075864, -0.03, -0.03, 24.75, 25.08
"
1618536034.514287,,"9078832, -0.02, 0.00, 24.75, 25.07
"
1618536034.5242894,,"9081752, -0.02, 0.00, 24.75, 25.07
"
1618536034.5242894,,"9084684, -0.02, -0.02, 24.81, 25.06
"
1618536034.5242894,,"9087652, -0.05, 0.00, 24.81, 25.06
"
1618536034.5343204,,"9090588, -0.03, 0.00, 24.81, 25.06
"
1618536034.5386493,,"9093524, -0.03, -0.02, 24.79, 25.04
"
1618536034.5416405,,"9096488, -0.02, 0.00, 24.79, 25.04
"
