Time,Tag,Flow
1618788092.278229,,"181743516, -0.10, -0.03, 24.75, 25.04
"
1618788092.278229,,"181746596, -0.10, -0.05, 24.75, 25.04
"
1618788092.278229,,"181749672, -0.03, -0.02, 24.75, 25.04
"
1618788092.2882276,,"181752740, 0.02, 0.02, 24.77, 25.01
"
1618788092.2882276,,"181755796, 0.00, 0.00, 24.77, 25.01
"
1618788092.2882276,,"181758792, -0.05, -0.07, 24.77, 25.04
"
1618788092.2982407,,"181761864, -0.05, -0.05, 24.79, 25.04
"
1618788092.2982407,,"181764936, -0.03, 0.00, 24.79, 25.04
"
1618788092.2982407,,"181767968, -0.02, 0.02, 24.79, 25.06
"
1618788092.308247,,"181771032, 0.00, 0.02, 24.75, 25.06
"
1618788092.308247,,"181774052, -0.05, -0.07, 24.75, 25.06
"
1618788092.308247,,"181777120, -0.07, -0.08, 24.75, 25.04
"
1618788092.308247,,"181780188, -0.03, -0.03, 24.75, 25.04
"
1618788092.3182282,,"181783260, 0.00, 0.03, 24.75, 25.01
"
1618788092.3182282,,"181786284, 0.00, 0.07, 24.75, 25.01
"
1618788092.3182282,,"181789304, -0.02, -0.03, 24.77, 25.01
"
1618788092.328228,,"181792376, -0.03, -0.07, 24.77, 25.02
"
1618788092.328228,,"181795448, -0.05, 0.00, 24.77, 25.02
"
1618788092.336259,,"181798484, -0.05, 0.03, 24.76, 25.05
"
1618788092.336259,,"181801548, -0.02, -0.02, 24.76, 25.05
"
1618788092.336259,,"181804620, 0.02, 0.00, 24.76, 25.05
"
1618788092.336259,,"181807640, 0.02, 0.02, 24.73, 25.05
"
1618788092.3462856,,"181810692, -0.05, -0.03, 24.73, 25.05
"
1618788092.3462856,,"181813768, -0.03, -0.07, 24.73, 25.05
"
1618788092.3462856,,"181816836, -0.02, 0.03, 24.79, 25.05
"
1618788092.356263,,"181819900, -0.03, 0.07, 24.79, 25.05
"
1618788092.356263,,"181822968, -0.02, -0.03, 24.79, 25.04
"
1618788092.356263,,"181826036, -0.02, -0.05, 24.77, 25.04
"
1618788092.3662827,,"181829104, -0.07, 0.03, 24.77, 25.06
"
1618788092.3662827,,"181832172, -0.02, -0.02, 24.77, 25.06
"
