Time,Tag,Flow
1618529593.6513355,,"48669976, -0.03, -0.03, 25.48, 25.42
"
1618529593.656509,,"48673000, -0.03, 0.00, 25.48, 25.42
"
1618529593.660066,,"48675992, -0.03, -0.03, 25.48, 25.45
"
1618529593.6630569,,"48679016, -0.05, -0.02, 25.48, 25.45
"
1618529593.666049,,"48682040, -0.03, -0.02, 25.48, 25.45
"
1618529593.669041,,"48685052, -0.03, -0.05, 25.46, 25.43
"
1618529593.672033,,"48688076, -0.03, -0.02, 25.46, 25.43
"
1618529593.6750255,,"48691100, -0.02, -0.03, 25.46, 25.46
"
1618529593.6780174,,"48694124, -0.03, 0.00, 25.42, 25.46
"
1618529593.6810088,,"48697116, -0.07, -0.02, 25.42, 25.46
"
1618529593.6840012,,"48700140, -0.05, 0.00, 25.42, 25.42
"
1618529593.6869934,,"48703132, -0.07, 0.02, 25.47, 25.42
"
1618529593.689985,,"48706152, -0.05, 0.00, 25.47, 25.42
"
1618529593.692978,,"48709140, -0.02, -0.05, 25.47, 25.40
"
1618529593.6959696,,"48712164, -0.03, 0.00, 25.47, 25.40
"
1618529593.698995,,"48715152, -0.05, -0.02, 25.47, 25.44
"
1618529593.701985,,"48718176, -0.07, 0.00, 25.47, 25.44
"
1618529593.7049463,,"48721164, -0.05, 0.00, 25.44, 25.44
"
1618529593.7079651,,"48724160, -0.03, 0.00, 25.44, 25.43
"
1618529593.7109601,,"48727148, -0.07, -0.02, 25.44, 25.43
"
1618529593.7149189,,"48730172, -0.07, -0.02, 25.47, 25.43
"
1618529593.7169414,,"48733200, -0.02, -0.02, 25.47, 25.43
"
1618529593.7209032,,"48736216, -0.07, 0.00, 25.47, 25.43
"
1618529593.7238948,,"48739204, -0.03, -0.03, 25.50, 25.44
"
1618529593.7268875,,"48742220, -0.05, 0.00, 25.50, 25.44
"
1618529593.7298791,,"48745200, -0.07, -0.02, 25.50, 25.44
"
1618529593.7328715,,"48748216, -0.07, -0.03, 25.47, 25.43
"
1618529593.735863,,"48751240, -0.07, -0.02, 25.47, 25.43
"
1618529593.738855,,"48754264, -0.03, -0.02, 25.47, 25.43
"
1618529593.7418473,,"48757288, -0.03, -0.02, 25.44, 25.42
"
1618529593.7448401,,"48760312, -0.02, -0.02, 25.44, 25.42
"
1618529593.747845,,"48763340, -0.03, -0.03, 25.44, 25.46
"
